F9B15DCDA0 (rsp+410)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCDA8 (rsp+418)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCDB0 (rsp+420)  - 000000003F800000     - (float)1.00
F9B15DCDB8 (rsp+428)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCDC0 (rsp+430)  - 000000003C887AF9     - (float)0.02
F9B15DCDC8 (rsp+438)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCDD0 (rsp+440)  - 0000000000000001     - (qword)0000000000000001(1)
F9B15DCDD8 (rsp+448)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCDE0 (rsp+450)  - 0000000000000001     - (qword)0000000000000001(1)
F9B15DCDE8 (rsp+458)  - 000000F9B15DCF00     - (pointer)F9B15DCF00
F9B15DCDF0 (rsp+460)  - 0000000000000004     - (qword)0000000000000004(4)
F9B15DCDF8 (rsp+468)  - 00007FF8EDC8B810     - (pointer)halo1.dll+ADB810
F9B15DCE00 (rsp+470)  - 0000000316F9E8BA     - (qword)0000000316F9E8BA(13270378682)
F9B15DCE08 (rsp+478)  - FFFFFFFFFFFFFFFF     - (qword)FFFFFFFFFFFFFFFF(18446744073709551615)
F9B15DCE10 (rsp+480)  - 0000000000000001     - (qword)0000000000000001(1)
F9B15DCE18 (rsp+488)  - 0000000000000001     - (qword)0000000000000001(1)
F9B15DCE20 (rsp+490)  - 000000003EAA6FE0     - (float)0.33
F9B15DCE28 (rsp+498)  - 0000453DFC3CCE5B     - (qword)0000453DFC3CCE5B(76132527165019)
F9B15DCE30 (rsp+4A0)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCE38 (rsp+4A8)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCE40 (rsp+4B0)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCE48 (rsp+4B8)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCE50 (rsp+4C0)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCE58 (rsp+4C8)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCE60 (rsp+4D0)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCE68 (rsp+4D8)  - 00000045677F9A02     - (qword)00000045677F9A02(298089159170)
F9B15DCE70 (rsp+4E0)  - 00000045677F9B81     - (qword)00000045677F9B81(298089159553)
F9B15DCE78 (rsp+4E8)  - 00000045677F9BA6     - (qword)00000045677F9BA6(298089159590)
F9B15DCE80 (rsp+4F0)  - 0000000041A55836     - (float)20.67
F9B15DCE88 (rsp+4F8)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCE90 (rsp+500)  - 000000003F800000     - (float)1.00
F9B15DCE98 (rsp+508)  - 00000045677F9BAA     - (qword)00000045677F9BAA(298089159594)
F9B15DCEA0 (rsp+510)  - 0000000000989680     - (qword)0000000000989680(10000000)
F9B15DCEA8 (rsp+518)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCEB0 (rsp+520)  - 00000045677F9BB2     - (qword)00000045677F9BB2(298089159602)
F9B15DCEB8 (rsp+528)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCEC0 (rsp+530)  - 000000003F800000     - (float)1.00
F9B15DCEC8 (rsp+538)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCED0 (rsp+540)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCED8 (rsp+548)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCEE0 (rsp+550)  - 000000003EAA6FE0     - (float)0.33
F9B15DCEE8 (rsp+558)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCEF0 (rsp+560)  - 8000000080000000     - (qword)8000000080000000(9223372039002259456)
F9B15DCEF8 (rsp+568)  - 8000000080000000     - (qword)8000000080000000(9223372039002259456)
F9B15DCF00 (rsp+570)  - 000000F9B15DD010     - (pointer)F9B15DD010
F9B15DCF08 (rsp+578)  - 00007FF8EDD9A058     - (pointer)halo1.dll+BEA058
F9B15DCF10 (rsp+580)  - 000000F9B15DD010     - (pointer)F9B15DD010
F9B15DCF18 (rsp+588)  - 00000000ECD00000     - (qword)00000000ECD00000(3973054464)
F9B15DCF20 (rsp+590)  - 000000F9B15DDA20     - (pointer)F9B15DDA20
F9B15DCF28 (rsp+598)  - 00007FF8EDE3877A     - (pointer)halo1.dll+C8877A
F9B15DCF30 (rsp+5A0)  - 000000F9B15DCFD0     - (pointer)F9B15DCFD0
F9B15DCF38 (rsp+5A8)  - 0000000000000008     - (qword)0000000000000008(8)
F9B15DCF40 (rsp+5B0)  - 00000276DEB43F8C     - (pointer)276DEB43F8C
F9B15DCF48 (rsp+5B8)  - 0000000000000000     - (qword)0000000000000000(0)
F9B15DCF50 (rsp+5C0)  - 000000010000C0E1     - (qword)000000010000C0E1(4295016673)
F9B15DCF58 (rsp+5C8)  - 000000F9E3740105     - (qword)000000F9E3740105(1073262887173)
F9B15DCF60 (rsp+5D0)  - 00000276DB0BA14C     - (pointer)276DB0BA14C
F9B15DCF68 (rsp+5D8)  - 000002764B9F1D80     - (pointer)2764B9F1D80
F9B15DCF70 (rsp+5E0)  - 000002764B9F1E00     - (pointer)2764B9F1E00
